English,Noongar
above,yira
acacia tree,koonart
accurate,medjil
achilles tendon,mirl
acknowledging confirming,ana
across,karta werla
adorn,kanangoor
afraid (of someone),wayaminy
after,ngolanga
ahead,koodjookat
aim (to miss),wilyan
aiming,weyaniny
also,"kidji, koodjir, wer"
always,"kalyagool, wortel"
and,"kidji, koodjir, wer"
angry,karang
angry (becoming),karangabiny
animal (stray),barna
ankle (inside),balkart
ankle (outside),darnt
ant,"bidit, boololo"
ant (black stinging),kardabartak
ant (little red stinging),kaany
ant (meat ant),"minyil, kurirt"
ant (small black argentine),boodjiny
anthill (termite),"widjet, woodiny"
anus,"kwan, narn"
anyhow,kooroom
armpit,"ngaaly, ngaly"
ashamed,"koonanginy, kaanya"
assault,baladjin
attention here,ni
aunty,kongk
aunty (father's sister),maain yok
awake,biyoo
away,"bookart yen, boolyaka"
axe (small),koi)
baby son,"indawil, marwil"
back,moordin
back (part of),moorlany
back lumbar region,bookar!
back passage,narn
back to,woonoona
backside,"koon, koowan, kwan"
bad,"mambarilj, wara"
bad (useless),mookiyang
bad (defacating),kooniny wora
bald (head),kaat birlowiny
band of possum hair,koonyi
banded ant eater,noombat \~
bandicoot,"kwenda, kwernt, kwinda"
banksia,mangalj
barn owl (call of),kaa
barter,bangalanga
bat,babitj
beard,ngarnak
beautiful (making oneself),kookoominy
beer,"kawoon, keba"
before,koora : i
behind,"koorlboorli, woorloogoort"
bell bird,dirl-dirl
belly (sloshing with liquid),koboorl djopooly
belly (sloshing with water),djopooly-djopooly
belt,noolpoorn q
belonging to us two,nanakat
berry,"maal, mal, karlboori"
"berry (red, sweet)",mol
berry (sweet berry),kooroop /
berry (sweet to suck),kamak
beyond,"moonbvorii, invonbooli"
big,"\_ keobarniny, koomba"
big leaves,doolyaa
binding,yoodininy
bird (smoker),"kooran, ngooran"
bite it,baakan
biting,"baakininy, bukininy d"
black,"mooni, moorn"
black (very),"mooni-mooni, moorn-mournm"
black cockatoo,"Manatj, ngoorlak"
black duck,ngwonan
black feathers,karak
black lizard (which drops tail),yoornti
black night,moonawooliny 4
black snake,noorm ]
blackboy,"balak, bulka /"
blackboy (no gum),bor
blackboy (stick for fire drill),"mirlen, mirtiny"
bleeding,ngobooloonginy
blind,miyal boort
blood,ngop
blood like (red),ngobooloong
blow fly,noordoo
blowing in the wind,boongoorang
bobtail,yoorn
bobtail (pointed tail),yoorlat
body odour (sweat),kibilyang
bone,"djoorla, kwetj"
bony,"kidja woorliny, koouji"
bony legs,marta key
boomerang,"karli, keel"
boss,"birdiya, boordiya"
both hands,"maar koodjal, mauraka"
bounding,burlanginy
brains,"doorndak, noorakoort"
bread,mariny
break (10),djakaroong
bream (fish),"barndi, djilba"
breast,"mimi, moomi, nini"
breast (milk),"bibi, biib, bib"
brief time,dji
bring,barongookit
bronchitis cough,djinarniny
brother (cousin),ngverden
brother,"ngoon, goon, AYours"
brother in law,ngooldja
bull ant (sargent),"kirkar, kirlirl"
bull-rushes,yandjet
bum,kwan
burning,muuriny
bush,miclak
bush (medical),koorin
bush {type ol),barang
buttock,bay
by and by,boudst
calf muscle,woorlitj
camp,"karla, maya-maya"
camp fire,karl
camp home,"karlak, kout, kKwont"
camping place,karlerl
car,kaditj-kadity
carpet snake,wakarl
carrot (wild),koordiny
carry bag,"kooda-koudu, koodit"
carry utensil,yandi
carrying dish,mirlkoora
cataract (film over eye),bambala
caterpillar,ngana
cattle,boulok
cave,"doomboon, yoraku!"
charcoal,kob
chase,moordalang
chasing,"moodalanging, ngaminy, \~"
chatting,wangkiny
cheeks (side of face),"kalyat, kamak"
cherry,djiyak
chest,ngoomt
child,"koorlang, koorlong"
child (eldest),borang
child (just walking),"noba, nop, nyooba"
child (second eldest),mardidjit .
child (smallest),koobidja
childish man,nop noongar
children,"nobaratj, koorlangka"
chin,"yel, yat"
christmas tree,"moodjar, moondar,"
Cigarette,ngamari
clever doctor,matka mooditj
clever person,dookatj
climb,djandang
Climbing,djandanginy
climbing up,yira djandanginy
cloak,"booka, bwoka"
close to,dookaniny
cloud,"koondart, marr"
cloud over bushfire,wombar
clouds (billowing of),marr warabiny
club,wadi ]
coat,bwoka
coat made of kangaroo skin,"booka, bwoka"
cobbler (fish),nyola
cockatoo (black & white tailed),ngoolyanak
cockatoo (black),"ngoorlak, manatj"
cockatoo (red tail),yiibi
cockatoo black (many),ngoolyanak
cold,nyidiny /
cold and bleak,malkin
come here,yoowalkoor!
come on,yoowalkoor!
comical,koobar
coming,koorliny
coming down,werdiny
confirming,ana
continually,kalyogool
continue sitting,nyinanginy
cook,dookern
cooked,dookoonor
cooking,dookerniny
corroboree (dance),midar
corroboree paint,"imardaa, wilk"
cough,koolboo
cousin (brother),ngoorden
cousin (sister),"deman, djook"
covering made from jute bag,woka
cow (cattle),"boolok, booliyak"
coward,wayarn
crawling,"barniny, inaarabarniny"
crayfish,marron
> crayfish found in swamps,dil
creek,birl
creep (to steal on game),ngardoong
creeping after,ngardanginy
crow,wardang
cry,"ngay, wal"
cry continuously,nygayiny- ngayiny
crying,"ngayiny, wual wangkiny"
cuckoo,"waaly, djilybarr"
cure an enchantment,malkarak
curlew,"werlo, wirle"
cut,"born, kardjat"
cutting,borniny
damp,balyan
damper,mereny
dance,"kakarook, kobori"
dandelions (grass),djirp
dark time,moordang
Darling Ranges,kawmordo
dawn of morning,djidar
day,kedala
daylight,"ben, birayit, djidar"
delouse,kuol wardiny
dead (deceased),"nootj, werni, winna"
dead persons bones,werna djoulour
deaf (car without),dwankabuort
death cloud,birnt
death cloud (misty rain),wirnit
deceased (name of),nootj
deceitful,koolymoot
earn woman's favours,bend
desiring the opposite sex,mardong \
devil,"djanak, djenak, djinak"
devil bird,nyoorlain \~
devil birds,wirnamitj
diarrhoea (gul ache),boolyaka
digging,berniny
digging stick,wan
seeing,moora
digging stick (back end of),moora
digging stick (women's),wama
dingo,mokiny
dirty,"madily, madili"
disbelief,nyiyarn wooniny /
do,warniny
do someone in (magic),moorook
doctor (to make well),dookeorniny s
dog,dwerl
done,doniny
dough,"merindjook, merinyook"
down,ngarda
down low,ngarduk
dream,koondarm
drinking,"ngarniny, djoriny"
drinking wine,keba nguniny
dry,djool
dry (thirsty),kabigoordak
ducks (in general),yerderap
dumb,djaraboorl
dust,dooka
dusty (becoming),bootjoorabiny
dwarf man (little),"mamari, mambara"
dwelling place,kornt
eagle,waalitj
eagle (hawk),yelka
eagle (type of small hawk),koordoop
ear,dwank
earth,"boodjar, boodjera"
cast,boyal
eat,"ngalkoo, ngan"
eating,djoriny
echidna,nyingarn
edible root,"koowin, madja"
edible root (cook on coals),kwardiny
egg,"noorik, noorook"
elbow,ngoyoor
elder brother,ngoont
embarrassed,"koorantj, koolmir"
emphasis (a suffix),woorliny
empty,wit
emu,"waitj, wetj"
emus (plenty),waidjeroop
enchantment,mertik
entering,djarbiny
escape,kwibidji
eucalyptus (glaucous leaf),balyoongar
evil spirit,"djanak, djenak, djinak"
exchange,bangalanga
exclamation of surprise,koorawoorliny
eye,miyal
eyebrow,mitnboorn
eyelash,miyal djowiny
face,moolymari
faeces,koonama
fair,djarat
fall as rain,djart
falling,"djabalariny, werdiny"
far,bookootjwoorar
fat,"djeroong, djiran"
fat one,koboor! koort °
father,"maam bart, maaman, maan"
featherfoot,djinakarbi
feathers worn as ornament in hair,"ngower, bidnag"
"feet (tired, finished)",djena wirdo
female possum,koomal
fibber,djaawara
fight,bakadjoo
finger,"biri, maarak, birl"
finger on hand,maarak birika
fingernails,biri
fire,karla
fire smoke,karl boyi
fire stick,"karlmarta, karlmoorl"
fire wood,karl boom
firmly united,baldja
first object form,nganyany
fish,djildjit
fish (taiier),bila
flame,djaaliny
flat curved throwing weapon,kayili
flathead (fish),nolka
flee,bardang
flies,nort
flight of boomerang,wili -
flint spear,djimbarl
flour,"djari, djeri, djcokoot"
flour (damper),mereny
flower (type of),djet
fly (insect),"minga, noort, noordoo"
fog,"dooly, koolyir"
following,dalanginy
food,mereny i
foot,"djen, djin"
for a moment,dji
forehead,"barp, yunoong"
forest,djarilmari
forever,kalyogool
form of clothing,doorleop
frightened,kweyiny [
frog,"koorni, kooyar, kwidjar"
front (in front of),koodjookat
frost,koorbon
full,moorart 7
full stomach,koboorl doonyitj
fungus (mushroom),noomar
funny,koobar
fur coat,"bwok, bwoka"
gamble (for money),boya warbiny
garfish,yelin
gecko (lizard),bibdjoo!
generation (previous & future),djoowak
generation (same),birninykoo
genitalia,beddik-beddik
get,burang
get this,niny barang
getting,barunginy
getting hot,karla woorliny
ghost spirit,"balyit, balyat"
giant ogre,djimba
girdle of hair (human),nidjara
girdle of possums hair,nooibam
girl,koort
give me (to),ngoongoor
give me water,kep yoonga
giving food,mereny yanginy
glass headed spear,kitj
go (somewhere),kooloot
go along happily,djooroobidiny
go forward,kolbang
go slow,dabakan koorliny
go swiftly,"darlyininy, moordiyap"
goanna (black),"yongki, yoondarn"
God,maaman yira
going,koorliny
going mad,kaat warabiny
going quickly,kutaming
good,moorditj
good (pretty),"koobidak, kwobidak"
good spirit,djin-djin
grain,kwolak
grandmother (esteemed elder),manyoows
grandparent,moyran
grass,"djirap, djiraly"
grasshopper,djidily
greasy,"djcroong, kibilyany"
greedy,"ngabat, ngabaty, ngaliny"
greedy person,ngambali
green berry with silver leaf,nirnam
green eyes,wongin
prey,"djendal, djindely"
grey haired,djendalak
ground,boodjera
group,mart
guilt,woolgar
\~ guilty,woolgaradak
gully,birt
gum,"min, miyan"
gum (type which is eaten),djoolbar
gum of wattle tree,kalyang
gum tree (red),koorden
gumuree,nyarnt
gun,widjibandi
guts,koboorl
hair,djoombar
hair (pubic),"nyanyi, djowiny moudar"
hair belt,djoorlib
hair on head,kaat djoomber 7
hairy faced,ngarngoongoodit)
hammer,katj
hand,maar
hands,muaraka
handsome,"djeroong, djiroong"
hang up,wariny
hanging up,waarintya
happy,djerap-djerap
having done,doniny
he,baal
head,kaat
healer,"kabap, mabarn"
hearing,kadjininy
heart,koort
"heart (middle, agent, soul)",koortoomitj
heartbeat (continuous),koort dook-nginy
heartland,koortaboodjor
heat of the sun,"doodja, doodjadona"
heavy,moordam
heel,mon
here,"nidja, nitj, yimniny"
pay attention,balep
hers,balap
hill,kart
hills,karda
hip,koolgi
hip bone,kwelak
hip bone (pelvis),"kwelak, kwilk"
his,balap
hit,doorditj
hit hard,"baminy, baaminy"
hitting it,baaminy
home,"kalil, koolurk"
honey,agook
honey and water drink,djilyaa
hopping,barlanginy
horizon,moombaki
horse,ngort
hot,"karlang, ngariny"
house,"Maya, hgawoort"
huge,wooboolyoong
hungry,koboorl wirt
hunting,ngardanginy
hurry up,kayirbida-kayirbida
hurt it,"bakan, baakan"
hut,"maya, miya, kwont"
hut on hillside,koonga maya
I,"ngany, ngoongan, ngoonya"
I'm a stranger,woonangan
in front of,"koodjookut, yoor! boorli"
inflicting death by enchantment,merrik
inform by and by,boorda warang
insect,"nort, noordgo, minga"
inside,bwora
intensive,mert
intercourse,"djoony-djoony, moony"
intestine (runners),burak
is this yours?,nyinak
island,koordabsodjor
it,baal
itching,kadidja-kadidja
its,balap
jam thicket,malak
jam tree (sap good for wind),mangart
jarrah tree grass,djiraly
jaw,"yet, yal"
jealous,min
jealous (becoming),mirnabing
joey,nyarnyi
joint,warelook
joking,awoon
jovial person,"awoon, koorawooring"
kangaroo,yongka
kangaroo embryo,djoodiny
kangaroo skin,"bwok, bwoka, kwart"
keeping,kanyiny
kidney,djoorp
killing it,wandanginy
kiss (to kiss),nindyan
knee,boomilj
knife,darp
knocking,dorl
know,katitj
knowing,"katitjiny, natj katiny /"
kookaburra,kau-kaa Q
lacking,"norti, nyondi"
land breeze,ngangkat
land where sun sets,kanana
later,boorda
later on,boorda boordak
laughing,"kawiny, walkoor"
laughing jackass,"kooka-kooka, kookabara"
leaf (dead),bilara
learning,"kadadjiny, kadidjiny"
leave (to),"woondja, boolyaka"
leaves of the wild carrot,ngoolyir
left behind,bangal
leg,maat
liar,djaa wara
lice,kool
lice eggs,djimt g
lie,"koolycomitj, kwilya"
lie teller,djaawara
light,ben
light coloured,djarat /
light of the morning,bina g
light straight spear,boordoon
lightning,"babangwin, babanginy, ."
like (to),mookiny
limestone,djidong g
lips,"djaa, men"
liquid,djopooly-djopooly
liquor,keba
listen,ni
listening,"djaliny, kaadining, i"
little,nyit
little child,kooniny
little hairy man,"woodatj, woordatji"
little spirit man,balyit
liver,mayar ;
lizard,yorndi
lizard (blue-tongue),dilert /
lizard (bobtail),yoorn
lizard (frilled dragon),kalari 5
"lizard (little, white)",kalari
lizard (small),djidong
lonely,dombuart
long ago,"koora, kooralang"
long time ago,"kwedjang, kwidja"
long way off,kadjalai
longing for,koordak
look,djinang
look out (danger),"aliwa, balatj"
look out (warning),balatj
look out over there,"alitj, alidja"
looking,djinanginy
looking for,"waadiny, wardiny"
lots of,"boola, boolarang"
lower back,bookal
lungs,walyan
lying down,nguorndiny
lying down to slecp,"mirdang, nookert ngoorndiny"
mad,kuat wara
maggots,boodjark
magic,madjitil
magic (black),yoomp
magic (death curse),yoomp
magic man,moorook
magic stone,"inolbar, mobran, molku"
magpie,koolbardi
make,warminy
make hot,karlang
make up lies,kala-kala
making,wuriny
mallee (red),birdidjit
mallee (white),dorditj
mallee fowl,ngawoo
mallee nut,madalkarang
mallee nuts,koodjat
mallee roots,koodjat
mallee tree,moort
man of importance,warda kadak
man of renown,warda kadak
man who buys women's favours,bandjiman
many,"balang, boola"
marked man,moorik
marriageable girl,manga
marron (small),"koonak, djilki"
me,"ngaany, ngut)"
meat,daadja
medicine bush (headache cure),koorin
medicine man,"kabap, mabarn ;"
message stick,boornoo wangkiny
meteor,binar
method of counting 5+5,djena mara-djena mara
mine,"ngan, nganyba, ngoonoong"
mischievous (evil litte men),woordadji
missing,"norti,nyondi"
mist,koolyir
misty rain,dooly
mixing,wirdanginy
moment,dji
money,"boorndoong, boyu"
moon,"Maant, miyuk, iniki"
moonlight,mikang
mopoke,nyawoo-nyawoo
moth,bindi-bindi
mother,ngangk
mountain devil,moolawa
mountain duck,nyimarak
mourning of child by father,medarung
moustache,mininy
mouth,djua
move (stand clear),worntiny
Movement (to go),koorliny
much,"boolu, balang"
mud-lark,"diliboort, koolyubarak"
mullet,"kalkada, kwoola, mirdarony"
my brother,"ngan ngooni, nganyba"
my relatives,koolbarduyong
naked,"balak, wodja woorliny"
narrow,nooloo
native peach tree,wongoop
navel,bily
near,bardovuk
neck (back of),ngarnak
neck band of possum hair,beororo
nest of white ants,wirt
night,"djadoolook, noordang"
night hawk,nyoorlam
night owl,yaarlj
night time,kedaluk
nightbird,nyoolang
nipol,Aa
pple,muni
no,"noonyka, yimoong, yoowart"
no good,mambaritj
noise of hitting,"barl-barl, borl"
none,"boort, yoonydjin"
nose,"moly, mooly, moolya"
nose bone,moolyambidi
nose discharge,moolyurak
not far,burdook
nothing,"kiny, nganung, yoowurt"
now,yeyi
now (today),yey
now knowing,moolup
ochre,mardua
oh shame !,djowily
old man (who is poorly or unwell),mundjang
old woman,kabarli
olden times,"kweiyan, kwedyung"
oldest girl,"borong, kawit"
oldest man,"borong, bwuran"
one,"kany, keny, keyiny"
one hand,mara keny
one's own father,"muambart, inamany"
only,djel
only child,koonyut
ornament made of human hair,woondoo
orphan,"barnap, boonap"
our,ngulung
ours,"nanukal, ngarlardoong"
our place,ngalla maya
out doors,bundak
outwards,muay-inay
over,um
over there,"bokadju, bookitj"
owl (barn),yoowintj
owl (brown),"wiroo, wiroop"
"owl (brown, black & white face)",nyiwaloong
owl (frogmouth),kainbany
owl (tawny frog mouth),djoowi
palate of mouth,koonyang
paper,"bibool, mili-mili"
parakeet,kawart /
parched ground,koolbar
parrot (purple and small),kaawar
parrot (smoker),kooraa
parrot (twenty eight),"doornart, dwarnart"
pass wind,borp
passing wind,borbiny
passing wind quietly,wilj
passion,karang
path,"bidi, djooroot, mart"
patient,banjard
pelvis,"kwilk, kweluk"
penis,"merit, meri"
people,moor
perspiration,koomkar .
person who desires,mardong
phlegm,wandjberi
pigs,dordok
pinching it,benanginy
pitiful person,nyomditj
place (to put),djookoominy
placed on back,yokiny
plant in ground (to),niran
play cards,warbiny
plenty,"boolarang, boola"
plover,"dirl-dirl, kil-kil"
poisonous snake,ngibart
poking,baranginy
policeman,"manatj, yoodila"
pool of water,manang
poor speaker,djan wara
porpoise,kwilena
possum,ngwir
possum (female),koomool
possum (male),kelang
possum (ring tailed),ngwayir
potato (type of),yoork
pouch,djariboo
pouring,djaranginy
power of death by enchantment,moorook
prawns,yala
pregnant,"boodjari, kooniny yarra"
pretending to be asleep,koolyoomitj
pretty,koobidak
Prickle bush,moondilj
pulling,djookoominy 5
puppy,dwert kooniny
purple-crowned lorikeet,kawoor
pursue,balang
pus (from boil),koont
pus (from eye),kooly
quandong,kwonding
quick,kert-kert
quickly,kerdiba
quickly,"bidik-bidik, bor! worl"
rabbit bandicoot (bilby),djalkat
race horse (goanna),kardar
tain,"boroong, kep"
tain coming,kep koorliny
rain water,kep inidjal
rainbow,walken
raining heavily,kep boroonginy
"rat (marsupial, long tailed)",bankot
red gum tree,"kardan, mari"
red kangaroo,murloo
red ochre,"mardaa, mirda"
red ochre (corroboree paint),wilki
red wine,ngop
reflect to,kauitj
relations,moort
relatives,ngoongovlong
return,korl
return (to camp),karla koorliny
ribcage,koong
ribs,ngooritj
right hand,agoornmoorn
river,bilya
rock,boya
rock (white quart),bilyiny
rock hole,"ngama,ngamar"
rock wallaby,moorang
roll over (to),bilang
romantically keen on,"djerabiny, mardong"
rope,madji
rubbing together,kooranginy
run away,bardang
running,"djakoorliny, moodoonginy"
running water,kebitj
rushes (water rushes),baat
saliva,"diyl, dely"
sand plain,"boodjera, kwongkan"
sand plain bush,mindalong
sand plain tree,moonguarlgoorook
sand soil,balyoongur
sap (from red gum tree),ngarl -
sap of tree,mayal
satisfied,moorart
scabs,jiri
scorpion,nindjaliny
scratching it,benanginy
scrawny neck,ngarnak kwetj
scream,wangadan
sea,"moomboyet, wardarn"
sea water,mainbakoort .
search,wardiny
see,djinang
see and understand,kootadjinong
seize by throat,wort baranginy
set,wiriny
set (as the sun),djart
sex play (vagina),miinoorna
sexual intercourse (having),moony
Shade,"malo, norlak, norlok"
shadow,"muliji, malidja"
shaking,boongoorang
shame,"djoo, kaanya, kanya,"
shame on you,kanya
shame shame,djoo-djoo
shark,kwila
she,baal
sheep,kookendjeri
shelter,"ngowoort, kwont"
sheoak tree,kwel
shield,woonta
shin bone,"maat, mart}"
shining,kanangoor
shoe,"djen bwoka, djena booku"
short,"koorart, korad"
shoulder,"moorlanak, nyiyarl"
shoulder blade,nyirl
shoulders,koongat
shout of praise,woola
shout of victory,yokayi
shy,"koolmir, koordany, kaanya"
shy (becoming),koorlincrabiny
sick,"inenditj, minditj"
silly old man,mandjang
sinew,birit
singing,warangka
sink,wiriny
sister,djook
sister (cousin),"djookin, djookinyan"
sisters,djookanka
sit,nyin
sitting,nyininy
skewer,birnt
skin,"muap, marp"
skin bag,bwokoot
skin coal,"bwok, bwoka"
skin of an animal,djoornak
skink,yoolart
skull (head bone),kart djovloor
sky,worl
sleep (in the cyes),"kooly, koodjoori"
slecp (to),"ngourndiny, nookat"
slow,dabakarn
small axe,kotj
small leaves,mayaal
small spear thrower,mir
small species of fungus,djalyil
smoke,koori
snake,moyoup
snake (brown),dookalj
snake (carpet),wakurl
"snake (red, black head)",mangany-mangany
